NAME,B01001_001E,state,county,tract,block group
Block Group 2; Census Tract 907.07; Cherokee County; Georgia,1534,13,057,090707,2
Block Group 1; Census Tract 907.08; Cherokee County; Georgia,2709,13,057,090708,1
Block Group 2; Census Tract 907.08; Cherokee County; Georgia,2573,13,057,090708,2
Block Group 3; Census Tract 907.08; Cherokee County; Georgia,841,13,057,090708,3
Block Group 1; Census Tract 907.09; Cherokee County; Georgia,2131,13,057,090709,1
Block Group 1; Census Tract 907.10; Cherokee County; Georgia,1210,13,057,090710,1
Block Group 2; Census Tract 907.10; Cherokee County; Georgia,1648,13,057,090710,2
Block Group 3; Census Tract 907.10; Cherokee County; Georgia,1251,13,057,090710,3
Block Group 1; Census Tract 908.05; Cherokee County; Georgia,1240,13,057,090805,1
Block Group 2; Census Tract 908.05; Cherokee County; Georgia,1933,13,057,090805,2
Block Group 3; Census Tract 908.05; Cherokee County; Georgia,1243,13,057,090805,3
Block Group 1; Census Tract 908.06; Cherokee County; Georgia,2899,13,057,090806,1
Block Group 2; Census Tract 908.06; Cherokee County; Georgia,2037,13,057,090806,2
Block Group 1; Census Tract 908.07; Cherokee County; Georgia,2992,13,057,090807,1
Block Group 2; Census Tract 908.07; Cherokee County; Georgia,2515,13,057,090807,2
Block Group 3; Census Tract 908.07; Cherokee County; Georgia,2293,13,057,090807,3
Block Group 1; Census Tract 908.08; Cherokee County; Georgia,703,13,057,090808,1
Block Group 2; Census Tract 908.08; Cherokee County; Georgia,3416,13,057,090808,2
Block Group 3; Census Tract 908.08; Cherokee County; Georgia,2670,13,057,090808,3
Block Group 1; Census Tract 908.09; Cherokee County; Georgia,2147,13,057,090809,1
Block Group 2; Census Tract 908.09; Cherokee County; Georgia,1936,13,057,090809,2
Block Group 1; Census Tract 908.10; Cherokee County; Georgia,2152,13,057,090810,1
Block Group 2; Census Tract 908.10; Cherokee County; Georgia,2501,13,057,090810,2
Block Group 1; Census Tract 909.05; Cherokee County; Georgia,555,13,057,090905,1
Block Group 2; Census Tract 909.05; Cherokee County; Georgia,2073,13,057,090905,2
Block Group 3; Census Tract 909.05; Cherokee County; Georgia,1016,13,057,090905,3
Block Group 4; Census Tract 909.05; Cherokee County; Georgia,1143,13,057,090905,4
Block Group 1; Census Tract 909.06; Cherokee County; Georgia,1368,13,057,090906,1
Block Group 2; Census Tract 909.06; Cherokee County; Georgia,3081,13,057,090906,2
Block Group 3; Census Tract 909.06; Cherokee County; Georgia,1913,13,057,090906,3
Block Group 1; Census Tract 909.07; Cherokee County; Georgia,1616,13,057,090907,1
Block Group 2; Census Tract 909.07; Cherokee County; Georgia,1794,13,057,090907,2
Block Group 3; Census Tract 909.07; Cherokee County; Georgia,877,13,057,090907,3
Block Group 1; Census Tract 909.08; Cherokee County; Georgia,4246,13,057,090908,1
Block Group 2; Census Tract 909.08; Cherokee County; Georgia,1215,13,057,090908,2
Block Group 3; Census Tract 909.08; Cherokee County; Georgia,656,13,057,090908,3
Block Group 1; Census Tract 909.09; Cherokee County; Georgia,2486,13,057,090909,1
Block Group 2; Census Tract 909.09; Cherokee County; Georgia,966,13,057,090909,2
Block Group 3; Census Tract 909.09; Cherokee County; Georgia,3104,13,057,090909,3
Block Group 1; Census Tract 909.10; Cherokee County; Georgia,2228,13,057,090910,1
Block Group 2; Census Tract 909.10; Cherokee County; Georgia,2419,13,057,090910,2
Block Group 1; Census Tract 909.11; Cherokee County; Georgia,2017,13,057,090911,1
Block Group 2; Census Tract 909.11; Cherokee County; Georgia,2799,13,057,090911,2
Block Group 1; Census Tract 909.12; Cherokee County; Georgia,2838,13,057,090912,1
Block Group 2; Census Tract 909.12; Cherokee County; Georgia,1238,13,057,090912,2
Block Group 1; Census Tract 910.01; Cherokee County; Georgia,1464,13,057,091001,1
Block Group 2; Census Tract 910.01; Cherokee County; Georgia,719,13,057,091001,2
Block Group 3; Census Tract 910.01; Cherokee County; Georgia,3288,13,057,091001,3
Block Group 1; Census Tract 910.06; Cherokee County; Georgia,2718,13,057,091006,1
Block Group 2; Census Tract 910.06; Cherokee County; Georgia,1876,13,057,091006,2
Block Group 1; Census Tract 910.07; Cherokee County; Georgia,2273,13,057,091007,1
Block Group 2; Census Tract 910.07; Cherokee County; Georgia,2000,13,057,091007,2
Block Group 3; Census Tract 910.07; Cherokee County; Georgia,946,13,057,091007,3
Block Group 4; Census Tract 910.07; Cherokee County; Georgia,1868,13,057,091007,4
Block Group 1; Census Tract 910.09; Cherokee County; Georgia,1754,13,057,091009,1
Block Group 2; Census Tract 910.09; Cherokee County; Georgia,2369,13,057,091009,2
Block Group 3; Census Tract 910.09; Cherokee County; Georgia,1660,13,057,091009,3
Block Group 1; Census Tract 910.10; Cherokee County; Georgia,1749,13,057,091010,1
Block Group 2; Census Tract 910.10; Cherokee County; Georgia,1483,13,057,091010,2
Block Group 1; Census Tract 910.11; Cherokee County; Georgia,2846,13,057,091011,1
Block Group 2; Census Tract 910.11; Cherokee County; Georgia,1617,13,057,091011,2
Block Group 1; Census Tract 910.12; Cherokee County; Georgia,993,13,057,091012,1
Block Group 2; Census Tract 910.12; Cherokee County; Georgia,677,13,057,091012,2
Block Group 3; Census Tract 910.12; Cherokee County; Georgia,2322,13,057,091012,3
Block Group 1; Census Tract 910.13; Cherokee County; Georgia,3600,13,057,091013,1
Block Group 2; Census Tract 910.13; Cherokee County; Georgia,1440,13,057,091013,2
Block Group 1; Census Tract 910.14; Cherokee County; Georgia,1885,13,057,091014,1
Block Group 2; Census Tract 910.14; Cherokee County; Georgia,1150,13,057,091014,2
Block Group 3; Census Tract 910.14; Cherokee County; Georgia,1556,13,057,091014,3
